,,,,"Règle de Bender",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qui,"URL  source",Année,Titre,Non-applicable,Appliquée,Non-appliquée,,Commentaires,"Langue traitée",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Déductible,Non-déductible,,en,de,fr,ja,zh,pt,ar,ko,uk,es,pl,ru,cs,fi,th,syr,sv,nl,wbp,it,hr,hch,tr,ro,hi,ur,ha,he,vi
A0,https://aclanthology.org/P86-1004.pdf,1986,"Recovering Implicit Information",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P86-1005.pdf,1986,"Semantic Acquisition In TELI: A Transportable, User-Customized Natural Language Processor",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P86-1006.pdf,1986,"Computational Complexity of Current GPSG Theory",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P86-1007.pdf,1986,"Defining Natural Language Grammar in GPSG",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P86-1008.pdf,1986,"Constraint Propagation in Kimmo Systems",,x,,,,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,
A0,https://aclanthology.org/P86-1009.pdf,1986,"Computational Complexity in Two-Level Morphology",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P86-1010.pdf,1986,"Parsing a Free-Word Order Language: Warlpiri",,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
A0,https://aclanthology.org/P87-1001.pdf,1987,"Temporal Ontology in Natural Language",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P87-1002.pdf,1987,"A Compositional Semantics of Temporal Expressions in English",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P87-1003.pdf,1987,"Situations and Intervals",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P87-1004.pdf,1987,"JETR: A Robust Machine Translation System",,x,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P87-1005.pdf,1987,"An Environment for Acquiring Semantic Information",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P87-1006.pdf,1987,"Grammatical and Ungrammatical Structures in User-Adviser Dialogues: Evidence for Sufficiency of Restricted Languages in Natural Language Interfaces to Advisory Systems",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P87-1007.pdf,1987,"An Attribute-Grammar Implementation of Government-binding Theory",,x,,,,x,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,
A0,https://aclanthology.org/P87-1008.pdf,1987,"Getting Idioms into a Lexicon Based Parser's Head",,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
A0,https://aclanthology.org/P87-1009.pdf,1987,"Phrasal Analysis of Long Noun Sequences",,x,,,"langue précisée à la fin de la conclusion",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P87-1010.pdf,1987,"Constituent-Based Morphological Parsing: A New Approach to the Problem of Word-Recognition",,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
A0,https://aclanthology.org/P88-1001.pdf,1988,"Adapting an English Morphological Analyzer for French",,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P88-1002.pdf,1988,"Sentence Fragments Regular Structures",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P88-1003.pdf,1988,"Multi-Level Plurals and Distributivity",,,,x,"(dans références et acronyme English-Oriented Formal Language)",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P88-1004.pdf,1988,"The Interpretation of Relational Nouns",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P88-1005.pdf,1988,"Quantifier Scoping in the Sri Core Language Engine",,,,x,"(ou non-applicable car de la formalisation logique mais que sur des phrases en anglais)",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P88-1006.pdf,1988,"A General Computational Treatment of Comparatives for Natural Language Question Answering",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P88-1007.pdf,1988,"Parsing and Interpreting Comparatives",,x,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
A0,https://aclanthology.org/P88-1008.pdf,1988,"Defining the Semantics of Verbal Modifiers in the Domain of Cooking Tasks",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P88-1009.pdf,1988,"The Interpretation of Tense and Aspect in English",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P88-1010.pdf,1988,"An Integrated Framework for Semantic and Pragmatic Interpretation",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P89-1001.pdf,1989,"A Transfer Model Using a Typed Feature Structure Rewriting System With Inheritance",,x,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P89-1002.pdf,1989,"A Semantic-Head-Driven Generation Algorithm for Unification-Based Formalisms ",,x,,,"précisé que pour néerlandais mais pas anglais",x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
A0,https://aclanthology.org/P89-1003.pdf,1989,"A Three-Valued Interpretation of Negation in Feature Structure Descriptions",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P89-1004.pdf,1989,"Logical Forms in the Core Language Engine",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P89-1005.pdf,1989,"Abstract Unification-Based Semantic Interpretation ",x,,,,"(ou appliquée car 1x anglais mais formalisation logique)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P89-1006.pdf,1989,"Reference to Locations",,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,https://aclanthology.org/P89-1007.pdf,1989,"Getting at Discourse Referents",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
