Qui,URL,Année,Titre,Non-applicable,Appliquée,Déductible,Non-déductible,Commentaires,en,de,fr,ja,zh,pt,ar,ko,uk,es,pl,ru,cs,fi,th,syr,sv,nl,wbp,it,hr,hch,tr,ro,hi,ur,ha,he,vi,el,da,ms,ca,is,eu,sr,gl,cy,ast,et,bg,sl,hu,ta,fa,sa,id,cr,ctn,iu,mux,yuw,byx,st,roh,yua,la,kij,no,sk,af,sux,mk,te,mwf,zgh,ps,ks,bn,gu,ml,ga,lv
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/9.pdf,2002,"Towards an Ontology for a Human Genome Knowledge Base",,x,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/10.pdf,2002,"An Improved Algorithm for the Automatic Segmentation of Speech Corpora",,x,,,"variante précisée (flamand, car auteurs belges)",,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/11.pdf,2002,"Towards a Corpus Annotated for Metonymies: the Case of Location Names",,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/12.pdf,2002,"Translators at work with TRANSTYPE: Resource and Evaluation",,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/13.pdf,2002,"Annotating the functional chunks in Chinese sentences ",,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/14.pdf,2002,"The Present Status of Speech Database in Japan:    Development, Management, and Application to Speech Research",,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/15.pdf,2002,"Evaluation of parsed corpora: Experiments in user-transparent and user-visible evaluation",,x,,,"parle de variantes",,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/16.pdf,2002,"Acoustic Modeling and Training of a Bilingual ASR System when a Minority Language is Involved",,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/17.pdf,2002,"The Open Language Archives Community",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/18.pdf,2002,"A Flexible XML-based Regular Compiler   for Creation and Conversion of Linguistic Resources ",,x,,,"ou non-applicable car pas étude linguistique mais logiciel testé principalement sur 3 langues",x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FD,http://www.lrec-conf.org/proceedings/lrec2002/pdf/19.pdf,2002,"A Contrastive Acoustic-Phonetic Analysis of Slovenian and English Diphthongs ",,x,,,titre,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
